Run,Assay Type,AvgSpotLen,BARCODE,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Depth,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Isolation_Source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Replicate,samp_collect_device,Sample Name,Site,SRA Study
SRR8759977,AMPLICON,338,18S,44263385,PRJNA515494,SAMN10847237,Metagenome or environmental,20996743,AZTI,2017-05-31,public,"sra,fastq",s3,s3.us-east-1,surface,SRX5550728,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.37 N 3.10 W,18SW15,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,filtered water,18SW15,site 1,SRP189053
SRR8759978,AMPLICON,342,18S,68133906,PRJNA515494,SAMN10847238,Metagenome or environmental,33227115,AZTI,2017-05-31,public,"fastq,sra",s3,s3.us-east-1,bottom,SRX5550727,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.37 N 3.10 W,18SW19,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,filtered water,18SW19,site 1,SRP189053
SRR8759979,AMPLICON,598,COI,48790837,PRJNA515494,SAMN10847231,Metagenome or environmental,28733935,AZTI,2017-09-05,public,"sra,fastq",s3,s3.us-east-1,surface,SRX5550726,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.37 N 3.10 W,COIW21,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,filtered water,COIW21,site 1,SRP189053
SRR8759980,AMPLICON,599,COI,60129461,PRJNA515494,SAMN10847232,Metagenome or environmental,34603897,AZTI,2017-09-05,public,"fastq,sra",s3,s3.us-east-1,bottom,SRX5550725,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.37 N 3.10 W,COIW30,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,filtered water,COIW30,site 1,SRP189053
SRR8759981,AMPLICON,593,COI,41492759,PRJNA515494,SAMN10847229,Metagenome or environmental,24874544,AZTI,2017-05-31,public,"fastq,sra",s3,s3.us-east-1,surface,SRX5550724,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.37 N 3.10 W,COIW15,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,filtered water,COIW15,site 1,SRP189053
SRR8759982,AMPLICON,597,COI,44561195,PRJNA515494,SAMN10847230,Metagenome or environmental,26521415,AZTI,2017-05-31,public,"fastq,sra",s3,s3.us-east-1,bottom,SRX5550723,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.37 N 3.10 W,COIW19,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,filtered water,COIW19,site 1,SRP189053
SRR8759983,AMPLICON,413,18S,16418949,PRJNA515494,SAMN10847235,Metagenome or environmental,12060137,AZTI,2017-02-03,public,"fastq,sra",s3,s3.us-east-1,bottom,SRX5550722,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.37 N 3.10 W,18SW10,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,filtered water,18SW10,site 1,SRP189053
SRR8759984,AMPLICON,338,18S,54668627,PRJNA515494,SAMN10847236,Metagenome or environmental,26467074,AZTI,2016-11-22,public,"fastq,sra",s3,s3.us-east-1,surface,SRX5550721,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.37 N 3.10 W,18SW13,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,filtered water,18SW13,site 1,SRP189053
SRR8759985,AMPLICON,335,18S,43663398,PRJNA515494,SAMN10847233,Metagenome or environmental,21841379,AZTI,2016-11-22,public,"fastq,sra",s3,s3.us-east-1,bottom,SRX5550720,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.37 N 3.10 W,18SW04,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,filtered water,18SW04,site 1,SRP189053
SRR8759986,AMPLICON,338,18S,56902039,PRJNA515494,SAMN10847234,Metagenome or environmental,27654818,AZTI,2017-02-03,public,"sra,fastq",s3,s3.us-east-1,surface,SRX5550719,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.37 N 3.10 W,18SW06,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,filtered water,18SW06,site 1,SRP189053
SRR8759987,AMPLICON,337,18S,23990614,PRJNA515494,SAMN10847411,Metagenome or environmental,9419273,AZTI,2017-05-31,public,"sra,fastq",s3,s3.us-east-1,water column,SRX5550718,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.35 N 3.07 W,Z19D,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,zooplankton net (60 µm),Z19D,site 2,SRP189053
SRR8759988,AMPLICON,597,COI,37631415,PRJNA515494,SAMN10847412,Metagenome or environmental,22840506,AZTI,2017-09-05,public,"sra,fastq",s3,s3.us-east-1,water column,SRX5550717,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.34 N 3.04 W,COIZ29,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,zooplankton net (60 µm),COIZ29,site 3,SRP189053
SRR8759989,AMPLICON,336,18S,24377269,PRJNA515494,SAMN10847409,Metagenome or environmental,9402809,AZTI,2016-11-22,public,"fastq,sra",s3,s3.us-east-1,water column,SRX5550716,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.35 N 3.07 W,Z03D,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,zooplankton net (60 µm),Z03D,site 2,SRP189053
SRR8759990,AMPLICON,335,18S,16023029,PRJNA515494,SAMN10847410,Metagenome or environmental,6286037,AZTI,2017-02-03,public,"sra,fastq",s3,s3.us-east-1,water column,SRX5550715,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.35 N 3.07 W,Z11D,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,zooplankton net (60 µm),Z11D,site 2,SRP189053
SRR8759991,AMPLICON,592,COI,21034386,PRJNA515494,SAMN10847415,Metagenome or environmental,12099249,AZTI,2017-05-31,public,"fastq,sra",s3,s3.us-east-1,water column,SRX5550714,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.34 N 3.04 W,Z21A,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,zooplankton net (60 µm),Z21A,site 3,SRP189053
SRR8759992,AMPLICON,352,18S,51086209,PRJNA515494,SAMN10847416,Metagenome or environmental,25478077,AZTI,2017-09-05,public,"fastq,sra",s3,s3.us-east-1,water column,SRX5550713,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.34 N 3.04 W,18SZ29,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,zooplankton net (60 µm),18SZ29,site 3,SRP189053
SRR8759993,AMPLICON,591,COI,25782110,PRJNA515494,SAMN10847413,Metagenome or environmental,14146575,AZTI,2016-11-22,public,"sra,fastq",s3,s3.us-east-1,water column,SRX5550712,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.34 N 3.04 W,Z05A,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,zooplankton net (60 µm),Z05A,site 3,SRP189053
SRR8759994,AMPLICON,593,COI,28442600,PRJNA515494,SAMN10847414,Metagenome or environmental,15254790,AZTI,2017-02-03,public,"fastq,sra",s3,s3.us-east-1,water column,SRX5550711,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.34 N 3.04 W,Z13A,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,zooplankton net (60 µm),Z13A,site 3,SRP189053
SRR8759995,AMPLICON,333,18S,21417877,PRJNA515494,SAMN10847417,Metagenome or environmental,7747525,AZTI,2016-11-22,public,"sra,fastq",s3,s3.us-east-1,water column,SRX5550710,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.34 N 3.04 W,Z05D,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,zooplankton net (60 µm),Z05D,site 3,SRP189053
SRR8759996,AMPLICON,334,18S,21517375,PRJNA515494,SAMN10847418,Metagenome or environmental,7891612,AZTI,2017-02-03,public,"fastq,sra",s3,s3.us-east-1,water column,SRX5550709,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.34 N 3.04 W,Z13D,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,zooplankton net (60 µm),Z13D,site 3,SRP189053
SRR8759997,AMPLICON,594,COI,22757621,PRJNA515494,SAMN10847421,Metagenome or environmental,13566279,AZTI,2016-11-22,public,"fastq,sra",s3,s3.us-east-1,water column,SRX5550708,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.28 N 2.97 W,Z07A,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,zooplankton net (60 µm),Z07A,site 4,SRP189053
SRR8759998,AMPLICON,592,COI,26236142,PRJNA515494,SAMN10847422,Metagenome or environmental,15656442,AZTI,2017-02-03,public,"sra,fastq",s3,s3.us-east-1,water column,SRX5550707,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.28 N 2.97 W,Z15A,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,zooplankton net (60 µm),Z15A,site 4,SRP189053
SRR8759999,AMPLICON,337,18S,41496774,PRJNA515494,SAMN10847337,Metagenome or environmental,19735476,AZTI,2017-06-27,public,"sra,fastq",s3,s3.us-east-1,1m,SRX5550706,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.37 N 3.10 W,18SPVC01,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,settlement plates,18SPVC01,site 1,SRP189053
SRR8760000,AMPLICON,344,18S,27034552,PRJNA515494,SAMN10847338,Metagenome or environmental,13584366,AZTI,2017-06-27,public,"sra,fastq",s3,s3.us-east-1,3m,SRX5550705,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.37 N 3.10 W,18SPVC02,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,settlement plates,18SPVC02,site 1,SRP189053
SRR8760001,AMPLICON,340,18S,15534110,PRJNA515494,SAMN10847425,Metagenome or environmental,6032972,AZTI,2016-11-22,public,"sra,fastq",s3,s3.us-east-1,water column,SRX5550704,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.28 N 2.97 W,Z07D,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,zooplankton net (60 µm),Z07D,site 4,SRP189053
SRR8760002,AMPLICON,343,18S,25594610,PRJNA515494,SAMN10847426,Metagenome or environmental,10816978,AZTI,2017-02-03,public,"sra,fastq",s3,s3.us-east-1,water column,SRX5550703,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.28 N 2.97 W,Z15D,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,zooplankton net (60 µm),Z15D,site 4,SRP189053
SRR8760003,AMPLICON,592,COI,22828362,PRJNA515494,SAMN10847423,Metagenome or environmental,13634968,AZTI,2017-05-31,public,"sra,fastq",s3,s3.us-east-1,water column,SRX5550702,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.28 N 2.97 W,Z23A,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,zooplankton net (60 µm),Z23A,site 4,SRP189053
SRR8760004,AMPLICON,350,18S,39138789,PRJNA515494,SAMN10847424,Metagenome or environmental,19010746,AZTI,2017-09-05,public,"sra,fastq",s3,s3.us-east-1,water column,SRX5550701,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.28 N 2.97 W,18SZ31,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,zooplankton net (60 µm),18SZ31,site 4,SRP189053
SRR8760005,AMPLICON,600,COI,51088389,PRJNA515494,SAMN10847331,Metagenome or environmental,30156012,AZTI,2017-06-27,public,"sra,fastq",s3,s3.us-east-1,1m,SRX5550700,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.37 N 3.10 W,COIPVC01,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,settlement plates,COIPVC01,site 1,SRP189053
SRR8760006,AMPLICON,592,COI,59606408,PRJNA515494,SAMN10847332,Metagenome or environmental,35199924,AZTI,2017-06-27,public,"fastq,sra",s3,s3.us-east-1,3m,SRX5550699,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.37 N 3.10 W,COIPVC02,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,settlement plates,COIPVC02,site 1,SRP189053
SRR8760007,AMPLICON,597,COI,47467178,PRJNA515494,SAMN10847329,Metagenome or environmental,28548578,AZTI,2017-10-14,public,"fastq,sra",s3,s3.us-east-1,bottom,SRX5550698,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.28 N 2.97 W,COIB47,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,2,sediment grab,COIB47,site 4,SRP189053
SRR8760008,AMPLICON,589,COI,41364787,PRJNA515494,SAMN10847330,Metagenome or environmental,25147090,AZTI,2017-10-15,public,"fastq,sra",s3,s3.us-east-1,bottom,SRX5550697,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.28 N 2.97 W,COIB48,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,3,sediment grab,COIB48,site 4,SRP189053
SRR8760009,AMPLICON,598,COI,31706312,PRJNA515494,SAMN10847335,Metagenome or environmental,19393135,AZTI,2017-10-05,public,"fastq,sra",s3,s3.us-east-1,3m,SRX5550696,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.37 N 3.10 W,COIPVC29,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,settlement plates,COIPVC29,site 1,SRP189053
SRR8760010,AMPLICON,596,COI,26441306,PRJNA515494,SAMN10847336,Metagenome or environmental,15439730,AZTI,2017-10-06,public,"sra,fastq",s3,s3.us-east-1,7m,SRX5550695,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.37 N 3.10 W,COIPVC30,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,settlement plates,COIPVC30,site 1,SRP189053
SRR8760011,AMPLICON,597,COI,56782194,PRJNA515494,SAMN10847333,Metagenome or environmental,32822147,AZTI,2017-06-27,public,"sra,fastq",s3,s3.us-east-1,7m,SRX5550694,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.37 N 3.10 W,COIPVC03,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,settlement plates,COIPVC03,site 1,SRP189053
SRR8760012,AMPLICON,596,COI,43034058,PRJNA515494,SAMN10847334,Metagenome or environmental,25392741,AZTI,2017-10-04,public,"fastq,sra",s3,s3.us-east-1,1m,SRX5550693,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.37 N 3.10 W,COIPVC28,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,settlement plates,COIPVC28,site 1,SRP189053
SRR8760013,AMPLICON,600,COI,51865074,PRJNA515494,SAMN10847397,Metagenome or environmental,30229758,AZTI,2017-09-05,public,"sra,fastq",s3,s3.us-east-1,water column,SRX5550692,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.37 N 3.10 W,COIZ25,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,zooplankton net (60 µm),COIZ25,site 1,SRP189053
SRR8760014,AMPLICON,590,COI,28101809,PRJNA515494,SAMN10847398,Metagenome or environmental,15407014,AZTI,2016-11-22,public,"fastq,sra",s3,s3.us-east-1,water column,SRX5550691,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.37 N 3.10 W,Z01A,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,zooplankton net (60 µm),Z01A,site 1,SRP189053
SRR8760015,AMPLICON,358,18S,40978240,PRJNA515494,SAMN10847393,Metagenome or environmental,20665594,AZTI,2017-09-05,public,"fastq,sra",s3,s3.us-east-1,water column,SRX5550690,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.28 N 2.97 W,18SZ32,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,zooplankton net (280 µm),18SZ32,site 4,SRP189053
SRR8760016,AMPLICON,335,18S,21630731,PRJNA515494,SAMN10847394,Metagenome or environmental,8153563,AZTI,2016-11-22,public,"fastq,sra",s3,s3.us-east-1,water column,SRX5550689,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.28 N 2.97 W,Z08D,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,zooplankton net (280 µm),Z08D,site 4,SRP189053
SRR8760017,AMPLICON,336,18S,31812410,PRJNA515494,SAMN10847395,Metagenome or environmental,12072916,AZTI,2017-02-03,public,"fastq,sra",s3,s3.us-east-1,water column,SRX5550688,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.28 N 2.97 W,Z16D,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,zooplankton net (280 µm),Z16D,site 4,SRP189053
SRR8760018,AMPLICON,335,18S,32289543,PRJNA515494,SAMN10847396,Metagenome or environmental,11935128,AZTI,2017-05-31,public,"fastq,sra",s3,s3.us-east-1,water column,SRX5550687,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.28 N 2.97 W,Z24D,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,zooplankton net (280 µm),Z24D,site 4,SRP189053
SRR8760019,AMPLICON,600,COI,48852620,PRJNA515494,SAMN10847389,Metagenome or environmental,32605566,AZTI,2017-09-05,public,"fastq,sra",s3,s3.us-east-1,water column,SRX5550686,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.28 N 2.97 W,COIZ32,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,zooplankton net (280 µm),COIZ32,site 4,SRP189053
SRR8760020,AMPLICON,593,COI,25831678,PRJNA515494,SAMN10847390,Metagenome or environmental,15573526,AZTI,2016-11-22,public,"sra,fastq",s3,s3.us-east-1,water column,SRX5550685,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.28 N 2.97 W,Z08A,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,zooplankton net (280 µm),Z08A,site 4,SRP189053
SRR8760021,AMPLICON,592,COI,25195738,PRJNA515494,SAMN10847391,Metagenome or environmental,16198226,AZTI,2017-02-03,public,"sra,fastq",s3,s3.us-east-1,water column,SRX5550684,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.28 N 2.97 W,Z16A,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,zooplankton net (280 µm),Z16A,site 4,SRP189053
SRR8760022,AMPLICON,593,COI,25294431,PRJNA515494,SAMN10847392,Metagenome or environmental,15463431,AZTI,2017-05-31,public,"sra,fastq",s3,s3.us-east-1,water column,SRX5550683,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.28 N 2.97 W,Z24A,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,zooplankton net (280 µm),Z24A,site 4,SRP189053
SRR8760023,AMPLICON,591,COI,21904515,PRJNA515494,SAMN10847400,Metagenome or environmental,13267022,AZTI,2017-05-31,public,"sra,fastq",s3,s3.us-east-1,water column,SRX5550682,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.37 N 3.10 W,Z17A,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,zooplankton net (60 µm),Z17A,site 1,SRP189053
SRR8760024,AMPLICON,593,COI,24147168,PRJNA515494,SAMN10847399,Metagenome or environmental,13086054,AZTI,2017-02-03,public,"fastq,sra",s3,s3.us-east-1,water column,SRX5550681,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.37 N 3.10 W,Z09A,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,zooplankton net (60 µm),Z09A,site 1,SRP189053
SRR8760025,AMPLICON,338,18S,18320416,PRJNA515494,SAMN10847402,Metagenome or environmental,7342163,AZTI,2016-11-22,public,"fastq,sra",s3,s3.us-east-1,water column,SRX5550680,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.37 N 3.10 W,Z01D,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,zooplankton net (60 µm),Z01D,site 1,SRP189053
SRR8760026,AMPLICON,355,18S,52326260,PRJNA515494,SAMN10847401,Metagenome or environmental,26259262,AZTI,2017-09-05,public,"fastq,sra",s3,s3.us-east-1,water column,SRX5550679,Spain,Europe,Spain: Bilbao,not applicable,Illumina MiSeq,not applicable,43.37 N 3.10 W,18SZ25,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2020-01-01T00:00:00Z,1,zooplankton net (60 µm),18SZ25,site 1,SRP189053
