organismQuantity	eventID	materialSampleID	eventRemarks	verbatimCoordinates	locality	verbatimDepth	eventDate	occurrenceStatus	sampleSizeValue	organismQuantityType	sampleSizeUnit	kingdom	phylum	class	order	family	genus	scientificName	scientificNameID	taxonRank	specificEpithet	occurrenceID
7819	SAMN10847357	SAMN10847357	settlement plates	43.28 N 2.97 W	Spain: Bilbao	7m	2017-06-27	present	65191	DNA Sequence reads	DNA Sequence reads	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Obeliidae	Obelia	Obelia dichotoma	urn:lsid:marinespecies.org:taxname:117386	species	dichotoma	asv.23_SAMN10847357
7797	SAMN10847345	SAMN10847345	settlement plates	43.34 N 3.04 W	Spain: Bilbao	7m	2017-06-27	present	82594	DNA Sequence reads	DNA Sequence reads	Eukaryota	Bryozoa	Gymnolaemata	Cheilostomatida	Bugulidae	Bugula	Bugula neritina	urn:lsid:marinespecies.org:taxname:111158	species	neritina	asv.20_SAMN10847345
7256	SAMN10847229	SAMN10847229	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2017-05-31	present	51070	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.12_SAMN10847229
7108	SAMN10847267	SAMN10847267	filtered water	43.28 N 2.97 W	Spain: Bilbao	surface	2017-09-05	present	22692	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.9_SAMN10847267
6790	SAMN10847255	SAMN10847255	filtered water	43.34 N 3.04 W	Spain: Bilbao	surface	2017-09-05	present	40406	DNA Sequence reads	DNA Sequence reads	Eukaryota	Bacillariophyta	Mediophyceae	Cymatosirales	Cymatosiraceae	Minutocellus	Minutocellus polymorphus	urn:lsid:marinespecies.org:taxname:464449	species	polymorphus	asv.19_SAMN10847255
6531	SAMN10847228	SAMN10847228	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2016-11-22	present	32657	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.4_SAMN10847228
6411	SAMN10847345	SAMN10847345	settlement plates	43.34 N 3.04 W	Spain: Bilbao	7m	2017-06-27	present	82594	DNA Sequence reads	DNA Sequence reads	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Balanidae	Balanus	Balanus trigonus	urn:lsid:marinespecies.org:taxname:106223	species	trigonus	asv.3_SAMN10847345
6019	SAMN10847357	SAMN10847357	settlement plates	43.28 N 2.97 W	Spain: Bilbao	7m	2017-06-27	present	65191	DNA Sequence reads	DNA Sequence reads	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Obeliidae	Obelia	Obelia dichotoma	urn:lsid:marinespecies.org:taxname:117386	species	dichotoma	asv.27_SAMN10847357
5907	SAMN10847226	SAMN10847226	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2017-02-03	present	30902	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.17_SAMN10847226
5631	SAMN10847249	SAMN10847249	filtered water	43.34 N 3.04 W	Spain: Bilbao	surface	2016-11-22	present	27377	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.30_SAMN10847249
5466	SAMN10847345	SAMN10847345	settlement plates	43.34 N 3.04 W	Spain: Bilbao	7m	2017-06-27	present	82594	DNA Sequence reads	DNA Sequence reads	Eukaryota	Arthropoda	Malacostraca	Amphipoda			Amphipoda	urn:lsid:marinespecies.org:taxname:1135	order		asv.26_SAMN10847345
5360	SAMN10847357	SAMN10847357	settlement plates	43.28 N 2.97 W	Spain: Bilbao	7m	2017-06-27	present	65191	DNA Sequence reads	DNA Sequence reads	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	Bougainvilliidae	Bougainvillia	Bougainvillia muscus	urn:lsid:marinespecies.org:taxname:117328	species	muscus	asv.31_SAMN10847357
5325	SAMN10847348	SAMN10847348	settlement plates	43.34 N 3.04 W	Spain: Bilbao	7m	2017-10-09	present	55832	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.16_SAMN10847348
5103	SAMN10847229	SAMN10847229	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2017-05-31	present	51070	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.1_SAMN10847229
4899	SAMN10847345	SAMN10847345	settlement plates	43.34 N 3.04 W	Spain: Bilbao	7m	2017-06-27	present	82594	DNA Sequence reads	DNA Sequence reads	Eukaryota	Bryozoa	Gymnolaemata	Ctenostomatida	Vesiculariidae		Vesiculariidae	urn:lsid:marinespecies.org:taxname:110802	family		asv.35_SAMN10847345
4732	SAMN10847357	SAMN10847357	settlement plates	43.28 N 2.97 W	Spain: Bilbao	7m	2017-06-27	present	65191	DNA Sequence reads	DNA Sequence reads	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Obeliidae	Obelia	Obelia dichotoma	urn:lsid:marinespecies.org:taxname:117386	species	dichotoma	asv.37_SAMN10847357
4592	SAMN10847249	SAMN10847249	filtered water	43.34 N 3.04 W	Spain: Bilbao	surface	2016-11-22	present	27377	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.1_SAMN10847249
4575	SAMN10847336	SAMN10847336	settlement plates	43.37 N 3.10 W	Spain: Bilbao	7m	2017-10-06	present	33359	DNA Sequence reads	DNA Sequence reads	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Balanidae	Balanus	Balanus trigonus	urn:lsid:marinespecies.org:taxname:106223	species	trigonus	asv.3_SAMN10847336
4447	SAMN10847231	SAMN10847231	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2017-09-05	present	57217	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.4_SAMN10847231
4435	SAMN10847345	SAMN10847345	settlement plates	43.34 N 3.04 W	Spain: Bilbao	7m	2017-06-27	present	82594	DNA Sequence reads	DNA Sequence reads	Eukaryota	Bryozoa	Gymnolaemata	Cheilostomatida	Watersiporidae	Watersipora	Watersipora	urn:lsid:marinespecies.org:taxname:110991	genus		asv.39_SAMN10847345
4317	SAMN10847229	SAMN10847229	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2017-05-31	present	51070	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.33_SAMN10847229
4259	SAMN10847357	SAMN10847357	settlement plates	43.28 N 2.97 W	Spain: Bilbao	7m	2017-06-27	present	65191	DNA Sequence reads	DNA Sequence reads	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	Bougainvilliidae	Bougainvillia	Bougainvillia muscus	urn:lsid:marinespecies.org:taxname:117328	species	muscus	asv.5_SAMN10847357
4172	SAMN10847266	SAMN10847266	filtered water	43.28 N 2.97 W	Spain: Bilbao	surface	2017-05-31	present	14698	DNA Sequence reads	DNA Sequence reads	Eukaryota						Biota	urn:lsid:marinespecies.org:taxname:1			asv.43_SAMN10847266
4024	SAMN10847345	SAMN10847345	settlement plates	43.34 N 3.04 W	Spain: Bilbao	7m	2017-06-27	present	82594	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.45_SAMN10847345
3997	SAMN10847255	SAMN10847255	filtered water	43.34 N 3.04 W	Spain: Bilbao	surface	2017-09-05	present	40406	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.29_SAMN10847255
3918	SAMN10847272	SAMN10847272	filtered water	42.24 N 8.72 W	Spain: Vigo	surface	2017-03-13	present	24801	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla	urn:lsid:marinespecies.org:taxname:134564	species	pusilla	asv.22_SAMN10847272
3907	SAMN10847276	SAMN10847276	filtered water	42.25 N 8.71 W	Spain: Vigo	surface	2017-03-13	present	40184	DNA Sequence reads	DNA Sequence reads	Eukaryota						Biota	urn:lsid:marinespecies.org:taxname:1			asv.15_SAMN10847276
3894	SAMN10847231	SAMN10847231	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2017-09-05	present	57217	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.12_SAMN10847231
3769	SAMN10847348	SAMN10847348	settlement plates	43.34 N 3.04 W	Spain: Bilbao	7m	2017-10-09	present	55832	DNA Sequence reads	DNA Sequence reads	Eukaryota	Mollusca	Bivalvia	Ostreida	Ostreidae	Ostrea	Ostrea stentina	urn:lsid:marinespecies.org:taxname:489077	species	stentina	asv.32_SAMN10847348
3707	SAMN10847276	SAMN10847276	filtered water	42.25 N 8.71 W	Spain: Vigo	surface	2017-03-13	present	40184	DNA Sequence reads	DNA Sequence reads	Eukaryota	Bacillariophyta	Mediophyceae	Cymatosirales	Cymatosiraceae	Minutocellus	Minutocellus polymorphus	urn:lsid:marinespecies.org:taxname:464449	species	polymorphus	asv.13_SAMN10847276
3684	SAMN10847348	SAMN10847348	settlement plates	43.34 N 3.04 W	Spain: Bilbao	7m	2017-10-09	present	55832	DNA Sequence reads	DNA Sequence reads	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	Bougainvilliidae	Bougainvillia	Bougainvillia muscus	urn:lsid:marinespecies.org:taxname:117328	species	muscus	asv.5_SAMN10847348
3663	SAMN10847276	SAMN10847276	filtered water	42.25 N 8.71 W	Spain: Vigo	surface	2017-03-13	present	40184	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla	urn:lsid:marinespecies.org:taxname:134564	species	pusilla	asv.22_SAMN10847276
3633	SAMN10847359	SAMN10847359	settlement plates	43.28 N 2.97 W	Spain: Bilbao	7m	2017-10-11	present	43570	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.46_SAMN10847359
3606	SAMN10847357	SAMN10847357	settlement plates	43.28 N 2.97 W	Spain: Bilbao	7m	2017-06-27	present	65191	DNA Sequence reads	DNA Sequence reads	Eukaryota	Annelida	Polychaeta	Spionida	Spionidae	Polydora	Polydora neocaeca	urn:lsid:marinespecies.org:taxname:330936	species	neocaeca	asv.34_SAMN10847357
3595	SAMN10847333	SAMN10847333	settlement plates	43.37 N 3.10 W	Spain: Bilbao	7m	2017-06-27	present	73769	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.48_SAMN10847333
3462	SAMN10847255	SAMN10847255	filtered water	43.34 N 3.04 W	Spain: Bilbao	surface	2017-09-05	present	40406	DNA Sequence reads	DNA Sequence reads	Eukaryota						Biota	urn:lsid:marinespecies.org:taxname:1			asv.51_SAMN10847255
3404	SAMN10847357	SAMN10847357	settlement plates	43.28 N 2.97 W	Spain: Bilbao	7m	2017-06-27	present	65191	DNA Sequence reads	DNA Sequence reads	Eukaryota						Biota	urn:lsid:marinespecies.org:taxname:1			asv.50_SAMN10847357
3360	SAMN10847359	SAMN10847359	settlement plates	43.28 N 2.97 W	Spain: Bilbao	7m	2017-10-11	present	43570	DNA Sequence reads	DNA Sequence reads	Eukaryota						Biota	urn:lsid:marinespecies.org:taxname:1			asv.7_SAMN10847359
3252	SAMN10847272	SAMN10847272	filtered water	42.24 N 8.72 W	Spain: Vigo	surface	2017-03-13	present	24801	DNA Sequence reads	DNA Sequence reads	Eukaryota						Biota	urn:lsid:marinespecies.org:taxname:1			asv.15_SAMN10847272
3251	SAMN10847348	SAMN10847348	settlement plates	43.34 N 3.04 W	Spain: Bilbao	7m	2017-10-09	present	55832	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.54_SAMN10847348
3183	SAMN10847255	SAMN10847255	filtered water	43.34 N 3.04 W	Spain: Bilbao	surface	2017-09-05	present	40406	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.9_SAMN10847255
3129	SAMN10847249	SAMN10847249	filtered water	43.34 N 3.04 W	Spain: Bilbao	surface	2016-11-22	present	27377	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.4_SAMN10847249
2979	SAMN10847229	SAMN10847229	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2017-05-31	present	51070	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.6_SAMN10847229
2879	SAMN10847223	SAMN10847223	filtered water	43.36 N 8.39 W	Spain: A Coruna	surface	2017-03-22	present	29891	DNA Sequence reads	DNA Sequence reads	Eukaryota	Bacillariophyta					Bacillariophyta	urn:lsid:marinespecies.org:taxname:148898	phylum		asv.36_SAMN10847223
2747	SAMN10847231	SAMN10847231	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2017-09-05	present	57217	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.40_SAMN10847231
2670	SAMN10847333	SAMN10847333	settlement plates	43.37 N 3.10 W	Spain: Bilbao	7m	2017-06-27	present	73769	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.63_SAMN10847333
2621	SAMN10847267	SAMN10847267	filtered water	43.28 N 2.97 W	Spain: Bilbao	surface	2017-09-05	present	22692	DNA Sequence reads	DNA Sequence reads	Eukaryota	Bacillariophyta	Mediophyceae	Cymatosirales	Cymatosiraceae	Minutocellus	Minutocellus polymorphus	urn:lsid:marinespecies.org:taxname:464449	species	polymorphus	asv.19_SAMN10847267
2604	SAMN10847348	SAMN10847348	settlement plates	43.34 N 3.04 W	Spain: Bilbao	7m	2017-10-09	present	55832	DNA Sequence reads	DNA Sequence reads	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Balanidae	Balanus	Balanus trigonus	urn:lsid:marinespecies.org:taxname:106223	species	trigonus	asv.64_SAMN10847348
2578	SAMN10847266	SAMN10847266	filtered water	43.28 N 2.97 W	Spain: Bilbao	surface	2017-05-31	present	14698	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.6_SAMN10847266
2500	SAMN10847333	SAMN10847333	settlement plates	43.37 N 3.10 W	Spain: Bilbao	7m	2017-06-27	present	73769	DNA Sequence reads	DNA Sequence reads	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Balanidae		Balanidae	urn:lsid:marinespecies.org:taxname:106057	family		asv.66_SAMN10847333
2464	SAMN10847223	SAMN10847223	filtered water	43.36 N 8.39 W	Spain: A Coruna	surface	2017-03-22	present	29891	DNA Sequence reads	DNA Sequence reads	Eukaryota						Biota	urn:lsid:marinespecies.org:taxname:1			asv.59_SAMN10847223
2463	SAMN10847223	SAMN10847223	filtered water	43.36 N 8.39 W	Spain: A Coruna	surface	2017-03-22	present	29891	DNA Sequence reads	DNA Sequence reads	Eukaryota						Biota	urn:lsid:marinespecies.org:taxname:1			asv.49_SAMN10847223
2453	SAMN10847226	SAMN10847226	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2017-02-03	present	30902	DNA Sequence reads	DNA Sequence reads	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Paracalanidae	Paracalanus	Paracalanus parvus	urn:lsid:marinespecies.org:taxname:104685	species	parvus	asv.41_SAMN10847226
2452	SAMN10847264	SAMN10847264	filtered water	43.28 N 2.97 W	Spain: Bilbao	surface	2016-11-22	present	5813	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.42_SAMN10847264
2433	SAMN10847345	SAMN10847345	settlement plates	43.34 N 3.04 W	Spain: Bilbao	7m	2017-06-27	present	82594	DNA Sequence reads	DNA Sequence reads	Eukaryota	Nemertea	Palaeonemertea		Cephalothricidae	Cephalothrix	Cephalothrix	urn:lsid:marinespecies.org:taxname:122379	genus		asv.65_SAMN10847345
2424	SAMN10847333	SAMN10847333	settlement plates	43.37 N 3.10 W	Spain: Bilbao	7m	2017-06-27	present	73769	DNA Sequence reads	DNA Sequence reads	Eukaryota	Nemertea	Enopla	Monostilifera	Emplectonematidae	Emplectonema	Emplectonema gracile	urn:lsid:marinespecies.org:taxname:122710	species	gracile	asv.68_SAMN10847333
2420	SAMN10847348	SAMN10847348	settlement plates	43.34 N 3.04 W	Spain: Bilbao	7m	2017-10-09	present	55832	DNA Sequence reads	DNA Sequence reads	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Balanidae	Balanus	Balanus trigonus	urn:lsid:marinespecies.org:taxname:106223	species	trigonus	asv.58_SAMN10847348
2407	SAMN10847336	SAMN10847336	settlement plates	43.37 N 3.10 W	Spain: Bilbao	7m	2017-10-06	present	33359	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.16_SAMN10847336
2406	SAMN10847226	SAMN10847226	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2017-02-03	present	30902	DNA Sequence reads	DNA Sequence reads	Eukaryota						Biota	urn:lsid:marinespecies.org:taxname:1			asv.25_SAMN10847226
2361	SAMN10847345	SAMN10847345	settlement plates	43.34 N 3.04 W	Spain: Bilbao	7m	2017-06-27	present	82594	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.16_SAMN10847345
2348	SAMN10847223	SAMN10847223	filtered water	43.36 N 8.39 W	Spain: A Coruna	surface	2017-03-22	present	29891	DNA Sequence reads	DNA Sequence reads	Eukaryota						Biota	urn:lsid:marinespecies.org:taxname:1			asv.15_SAMN10847223
2276	SAMN10847357	SAMN10847357	settlement plates	43.28 N 2.97 W	Spain: Bilbao	7m	2017-06-27	present	65191	DNA Sequence reads	DNA Sequence reads	Eukaryota	Arthropoda	Hexanauplia	Sessilia			Sessilia	urn:lsid:marinespecies.org:taxname:106033	order		asv.53_SAMN10847357
2262	SAMN10847333	SAMN10847333	settlement plates	43.37 N 3.10 W	Spain: Bilbao	7m	2017-06-27	present	73769	DNA Sequence reads	DNA Sequence reads	Eukaryota		Phaeophyceae	Cutleriales	Cutleriaceae	Cutleria	Cutleria multifida	urn:lsid:marinespecies.org:taxname:145297	species	multifida	asv.71_SAMN10847333
2240	SAMN10847348	SAMN10847348	settlement plates	43.34 N 3.04 W	Spain: Bilbao	7m	2017-10-09	present	55832	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.55_SAMN10847348
2224	SAMN10847333	SAMN10847333	settlement plates	43.37 N 3.10 W	Spain: Bilbao	7m	2017-06-27	present	73769	DNA Sequence reads	DNA Sequence reads	Eukaryota	Nemertea	Enopla	Monostilifera	Emplectonematidae	Emplectonema	Emplectonema gracile	urn:lsid:marinespecies.org:taxname:122710	species	gracile	asv.72_SAMN10847333
2096	SAMN10847251	SAMN10847251	filtered water	43.34 N 3.04 W	Spain: Bilbao	surface	2017-02-03	present	25614	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.17_SAMN10847251
2085	SAMN10847333	SAMN10847333	settlement plates	43.37 N 3.10 W	Spain: Bilbao	7m	2017-06-27	present	73769	DNA Sequence reads	DNA Sequence reads	Eukaryota	Nemertea	Enopla	Monostilifera	Emplectonematidae	Emplectonema	Emplectonema gracile	urn:lsid:marinespecies.org:taxname:122710	species	gracile	asv.76_SAMN10847333
2046	SAMN10847272	SAMN10847272	filtered water	42.24 N 8.72 W	Spain: Vigo	surface	2017-03-13	present	24801	DNA Sequence reads	DNA Sequence reads	Eukaryota						Biota	urn:lsid:marinespecies.org:taxname:1			asv.56_SAMN10847272
2002	SAMN10847223	SAMN10847223	filtered water	43.36 N 8.39 W	Spain: A Coruna	surface	2017-03-22	present	29891	DNA Sequence reads	DNA Sequence reads	Eukaryota	Bacillariophyta					Bacillariophyta	urn:lsid:marinespecies.org:taxname:148898	phylum		asv.62_SAMN10847223
2000	SAMN10847272	SAMN10847272	filtered water	42.24 N 8.72 W	Spain: Vigo	surface	2017-03-13	present	24801	DNA Sequence reads	DNA Sequence reads	Eukaryota	Bacillariophyta	Mediophyceae	Cymatosirales	Cymatosiraceae	Minutocellus	Minutocellus polymorphus	urn:lsid:marinespecies.org:taxname:464449	species	polymorphus	asv.13_SAMN10847272
1996	SAMN10847333	SAMN10847333	settlement plates	43.37 N 3.10 W	Spain: Bilbao	7m	2017-06-27	present	73769	DNA Sequence reads	DNA Sequence reads	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Balanidae		Balanidae	urn:lsid:marinespecies.org:taxname:106057	family		asv.77_SAMN10847333
1993	SAMN10847333	SAMN10847333	settlement plates	43.37 N 3.10 W	Spain: Bilbao	7m	2017-06-27	present	73769	DNA Sequence reads	DNA Sequence reads	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	Bougainvilliidae	Bougainvillia	Bougainvillia muscus	urn:lsid:marinespecies.org:taxname:117328	species	muscus	asv.79_SAMN10847333
1937	SAMN10847336	SAMN10847336	settlement plates	43.37 N 3.10 W	Spain: Bilbao	7m	2017-10-06	present	33359	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.61_SAMN10847336
1931	SAMN10847255	SAMN10847255	filtered water	43.34 N 3.04 W	Spain: Bilbao	surface	2017-09-05	present	40406	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.38_SAMN10847255
1886	SAMN10847348	SAMN10847348	settlement plates	43.34 N 3.04 W	Spain: Bilbao	7m	2017-10-09	present	55832	DNA Sequence reads	DNA Sequence reads	Eukaryota	Bryozoa	Gymnolaemata	Cheilostomatida	Bugulidae	Bugula	Bugula neritina	urn:lsid:marinespecies.org:taxname:111158	species	neritina	asv.20_SAMN10847348
1883	SAMN10847231	SAMN10847231	filtered water	43.37 N 3.10 W	Spain: Bilbao	surface	2017-09-05	present	57217	DNA Sequence reads	DNA Sequence reads	Eukaryota	Bacillariophyta					Bacillariophyta	urn:lsid:marinespecies.org:taxname:148898	phylum		asv.81_SAMN10847231
1866	SAMN10847267	SAMN10847267	filtered water	43.28 N 2.97 W	Spain: Bilbao	surface	2017-09-05	present	22692	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.38_SAMN10847267
1855	SAMN10847345	SAMN10847345	settlement plates	43.34 N 3.04 W	Spain: Bilbao	7m	2017-06-27	present	82594	DNA Sequence reads	DNA Sequence reads	Eukaryota	Annelida	Polychaeta	Sabellida	Sabellariidae	Sabellaria	Sabellaria spinulosa	urn:lsid:marinespecies.org:taxname:130867	species	spinulosa	asv.84_SAMN10847345
1830	SAMN10847251	SAMN10847251	filtered water	43.34 N 3.04 W	Spain: Bilbao	surface	2017-02-03	present	25614	DNA Sequence reads	DNA Sequence reads	Eukaryota						Biota	urn:lsid:marinespecies.org:taxname:1			asv.25_SAMN10847251
1800	SAMN10847219	SAMN10847219	filtered water	43.37 N 8.40 W	Spain: A Coruna	surface	2017-03-22	present	27602	DNA Sequence reads	DNA Sequence reads	Eukaryota	Bacillariophyta					Bacillariophyta	urn:lsid:marinespecies.org:taxname:148898	phylum		asv.36_SAMN10847219
1794	SAMN10847255	SAMN10847255	filtered water	43.34 N 3.04 W	Spain: Bilbao	surface	2017-09-05	present	40406	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	superdomain		asv.4_SAMN10847255
